stage;len;k;j;j+len;zetas[k];r[j]_in;r[j+len]_in;zetas[k]_hex;r[j]_in_hex;r[j+len]_in_hex;r[j]_out;r[j+len]_out;r[j]_out_hex;r[j+len]_out_hex
6;64;3;24;88;-1517;-47;-816;0xfa13;0xffd1;0xfcd0;-863;799;0xfca1;0x31f
6;64;3;25;89;-1517;0;0;0xfa13;0x0;0x0;0;0;0x0;0x0
6;64;3;26;90;-1517;1216;-1344;0xfa13;0x4c0;0xfac0;-128;-799;0xff80;0xfce1
6;64;3;27;91;-1517;32;32;0xfa13;0x20;0x20;64;0;0x40;0x0
6;64;3;28;92;-1517;1432;102;0xfa13;0x598;0x66;1534;-64;0x5fe;0xffc0
6;64;3;29;93;-1517;-1352;1416;0xfa13;0xfab8;0x588;64;-863;0x40;0xfca1
6;64;3;30;94;-1517;615;-615;0xfa13;0x267;0xfd99;0;-735;0x0;0xfd21
6;64;3;31;95;-1517;1449;-650;0xfa13;0x5a9;0xfd76;799;735;0x31f;0x2df
6;64;3;32;96;-1517;1248;-1312;0xfa13;0x4e0;0xfae0;-64;-799;0xffc0;0xfce1
6;64;3;33;97;-1517;-719;719;0xfa13;0xfd31;0x2cf;0;-927;0x0;0xfc61
6;64;3;34;98;-1517;-1384;1384;0xfa13;0xfa98;0x568;0;-863;0x0;0xfca1
6;64;3;35;99;-1517;615;-615;0xfa13;0x267;0xfd99;0;-735;0x0;0xfd21
6;64;3;36;100;-1517;-752;17;0xfa13;0xfd10;0x11;-735;-799;0xfd21;0xfce1
6;64;3;37;101;-1517;-1315;-1215;0xfa13;0xfadd;0xfb41;799;-671;0x31f;0xfd61
6;64;3;38;102;-1517;702;33;0xfa13;0x2be;0x21;735;128;0x2df;0x80
6;64;3;39;103;-1517;-1513;586;0xfa13;0xfa17;0x24a;-927;-735;0xfc61;0xfd21
6;64;3;40;104;-1517;-1399;600;0xfa13;0xfa89;0x258;-799;-64;0xfce1;0xffc0
6;64;3;41;105;-1517;-1320;1448;0xfa13;0xfad8;0x5a8;128;-863;0x80;0xfca1
6;64;3;42;106;-1517;1280;-1280;0xfa13;0x500;0xfb00;0;-799;0x0;0xfce1
6;64;3;43;107;-1517;513;1282;0xfa13;0x201;0x502;-1534;-799;0xfa02;0xfce1
6;64;3;44;108;-1517;-801;737;0xfa13;0xfcdf;0x2e1;-64;-1598;0xffc0;0xf9c2
6;64;3;45;109;-1517;1431;-568;0xfa13;0x597;0xfdc8;863;64;0x35f;0x40
6;64;3;46;110;-1517;665;-665;0xfa13;0x299;0xfd67;0;-64;0x0;0xffc0
6;64;3;47;111;-1517;17;-752;0xfa13;0x11;0xfd10;-735;799;0xfd21;0x31f
6;64;3;48;112;-1517;769;-769;0xfa13;0x301;0xfcff;0;1598;0x0;0x63e
6;64;3;49;113;-1517;735;735;0xfa13;0x2df;0x2df;1470;0;0x5be;0x0
6;64;3;50;114;-1517;1399;-600;0xfa13;0x577;0xfda8;799;64;0x31f;0x40
6;64;3;51;115;-1517;1449;-650;0xfa13;0x5a9;0xfd76;799;735;0x31f;0x2df
6;64;3;52;116;-1517;-134;-1464;0xfa13;0xff7a;0xfa48;-1598;-64;0xf9c2;0xffc0
6;64;3;53;117;-1517;752;-17;0xfa13;0x2f0;0xffef;735;799;0x2df;0x31f
6;64;3;54;118;-1517;-1315;-1215;0xfa13;0xfadd;0xfb41;799;-671;0x31f;0xfd61
6;64;3;55;119;-1517;-784;-15;0xfa13;0xfcf0;0xfff1;-799;-799;0xfce1;0xfce1
6;64;3;56;120;-1517;-1344;1216;0xfa13;0xfac0;0x4c0;-128;799;0xff80;0x31f
6;64;3;57;121;-1517;648;87;0xfa13;0x288;0x57;735;-863;0x2df;0xfca1
6;64;3;58;122;-1517;-1280;1280;0xfa13;0xfb00;0x500;0;799;0x0;0x31f
6;64;3;59;123;-1517;1233;1233;0xfa13;0x4d1;0x4d1;-863;0;0xfca1;0x0
6;64;3;60;124;-1517;521;1082;0xfa13;0x209;0x43a;1603;863;0x643;0x35f
6;64;3;61;125;-1517;-737;801;0xfa13;0xfd1f;0x321;64;-1598;0x40;0xf9c2
6;64;3;62;126;-1517;104;-104;0xfa13;0x68;0xff98;0;1662;0x0;0x67e
6;64;3;63;127;-1517;-1399;600;0xfa13;0xfa89;0x258;-799;-64;0xfce1;0xffc0
6;64;2;128;192;-359;1280;-1280;0xfe99;0x500;0xfb00;0;-64;0x0;0xffc0
6;64;2;129;193;-359;551;-679;0xfe99;0x227;0xfd59;-128;-863;0xff80;0xfca1
6;64;2;130;194;-359;1399;-600;0xfe99;0x577;0xfda8;799;-799;0x31f;0xfce1
6;64;2;131;195;-359;729;-601;0xfe99;0x2d9;0xfda7;128;799;0x80;0x31f
6;64;2;132;196;-359;601;-729;0xfe99;0x259;0xfd27;-128;799;0xff80;0x31f
6;64;2;133;197;-359;536;-1463;0xfe99;0x218;0xfa49;-927;-799;0xfc61;0xfce1
6;64;2;134;198;-359;1327;-464;0xfe99;0x52f;0xfe30;863;-128;0x35f;0xff80
6;64;2;135;199;-359;-1496;-166;0xfe99;0xfa28;0xff5a;-1662;-799;0xf982;0xfce1
6;64;2;136;200;-359;32;32;0xfe99;0x20;0x20;64;0;0x40;0x0
6;64;2;137;201;-359;1233;1233;0xfe99;0x4d1;0x4d1;-863;0;0xfca1;0x0
6;64;2;138;202;-359;-769;769;0xfe99;0xfcff;0x301;0;-128;0x0;0xff80
6;64;2;139;203;-359;1279;1379;0xfe99;0x4ff;0x563;-671;-1662;0xfd61;0xf982
6;64;2;140;204;-359;1096;635;0xfe99;0x448;0x27b;-1598;-927;0xf9c2;0xfc61
6;64;2;141;205;-359;0;0;0xfe99;0x0;0x0;0;0;0x0;0x0
6;64;2;142;206;-359;32;32;0xfe99;0x20;0x20;64;0;0x40;0x0
6;64;2;143;207;-359;-528;1263;0xfe99;0xfdf0;0x4ef;735;128;0x2df;0x80
6;64;2;144;208;-359;697;-633;0xfe99;0x2b9;0xfd87;64;799;0x40;0x31f
6;64;2;145;209;-359;1449;-650;0xfe99;0x5a9;0xfd76;799;863;0x31f;0x35f
6;64;2;146;210;-359;1362;-1298;0xfe99;0x552;0xfaee;64;1598;0x40;0x63e
6;64;2;147;211;-359;-1335;664;0xfe99;0xfac9;0x298;-671;799;0xfd61;0x31f
6;64;2;148;212;-359;687;-751;0xfe99;0x2af;0xfd11;-64;-1534;0xffc0;0xfa02
6;64;2;149;213;-359;784;15;0xfe99;0x310;0xf;799;64;0x31f;0x40
6;64;2;150;214;-359;647;-583;0xfe99;0x287;0xfdb9;64;-863;0x40;0xfca1
6;64;2;151;215;-359;-1409;482;0xfe99;0xfa7f;0x1e2;-927;-1534;0xfc61;0xfa02
6;64;2;152;216;-359;1367;-632;0xfe99;0x557;0xfd88;735;-799;0x2df;0xfce1
6;64;2;153;217;-359;0;0;0xfe99;0x0;0x0;0;0;0x0;0x0
6;64;2;154;218;-359;601;-729;0xfe99;0x259;0xfd27;-128;799;0xff80;0x31f
6;64;2;155;219;-359;32;32;0xfe99;0x20;0x20;64;0;0x40;0x0
6;64;2;156;220;-359;449;1218;0xfe99;0x1c1;0x4c2;-1662;-64;0xf982;0xffc0
6;64;2;157;221;-359;-1352;1416;0xfe99;0xfab8;0x588;64;735;0x40;0x2df
6;64;2;158;222;-359;-615;615;0xfe99;0xfd99;0x267;0;863;0x0;0x35f
6;64;2;159;223;-359;-1449;650;0xfe99;0xfa57;0x28a;-799;-863;0xfce1;0xfca1
6;64;2;160;224;-359;633;-697;0xfe99;0x279;0xfd47;-64;799;0xffc0;0x31f
6;64;2;161;225;-359;-104;104;0xfe99;0xff98;0x68;0;671;0x0;0x29f
6;64;2;162;226;-359;-1384;1384;0xfe99;0xfa98;0x568;0;735;0x0;0x2df
6;64;2;163;227;-359;-615;615;0xfe99;0xfd99;0x267;0;863;0x0;0x35f
6;64;2;164;228;-359;-568;1431;0xfe99;0xfdc8;0x597;863;799;0x35f;0x31f
6;64;2;165;229;-359;-630;-169;0xfe99;0xfd8a;0xff57;-799;927;0xfce1;0x39f
6;64;2;166;230;-359;-1327;464;0xfe99;0xfad1;0x1d0;-863;128;0xfca1;0x80
6;64;2;167;231;-359;1385;-714;0xfe99;0x569;0xfd36;671;863;0x29f;0x35f
6;64;2;168;232;-359;15;784;0xfe99;0xf;0x310;799;-64;0x31f;0xffc0
6;64;2;169;233;-359;-1320;1448;0xfe99;0xfad8;0x5a8;128;735;0x80;0x2df
6;64;2;170;234;-359;665;-665;0xfe99;0x299;0xfd67;0;799;0x0;0x31f
6;64;2;171;235;-359;1496;166;0xfe99;0x5d8;0xa6;1662;799;0x67e;0x31f
6;64;2;172;236;-359;1298;-1362;0xfe99;0x512;0xfaae;-64;1598;0xffc0;0x63e
6;64;2;173;237;-359;17;-752;0xfe99;0x11;0xfd10;-735;64;0xfd21;0x40
6;64;2;174;238;-359;1280;-1280;0xfe99;0x500;0xfb00;0;-64;0x0;0xffc0
6;64;2;175;239;-359;1431;-568;0xfe99;0x597;0xfdc8;863;-799;0x35f;0xfce1
6;64;2;176;240;-359;-1330;1330;0xfe99;0xface;0x532;0;-1598;0x0;0xf9c2
6;64;2;177;241;-359;-863;-863;0xfe99;0xfca1;0xfca1;1603;0;0x643;0x0
6;64;2;178;242;-359;-15;-784;0xfe99;0xfff1;0xfcf0;-799;64;0xfce1;0x40
6;64;2;179;243;-359;-1449;650;0xfe99;0xfa57;0x28a;-799;-863;0xfce1;0xfca1
6;64;2;180;244;-359;-1250;-481;0xfe99;0xfb1e;0xfe1f;1598;-64;0x63e;0xffc0
6;64;2;181;245;-359;568;-1431;0xfe99;0x238;0xfa69;-863;-799;0xfca1;0xfce1
6;64;2;182;246;-359;-630;-169;0xfe99;0xfd8a;0xff57;-799;927;0xfce1;0x39f
6;64;2;183;247;-359;-600;1399;0xfe99;0xfda8;0x577;799;799;0x31f;0x31f
6;64;2;184;248;-359;-729;601;0xfe99;0xfd27;0x259;-128;-799;0xff80;0xfce1
6;64;2;185;249;-359;-151;-712;0xfe99;0xff69;0xfd38;-863;735;0xfca1;0x2df
6;64;2;186;250;-359;-665;665;0xfe99;0xfd67;0x299;0;-799;0x0;0xfce1
6;64;2;187;251;-359;-1297;-1297;0xfe99;0xfaef;0xfaef;735;0;0x2df;0x0
6;64;2;188;252;-359;-1210;-649;0xfe99;0xfb46;0xfd77;1470;-735;0x5be;0xfd21
6;64;2;189;253;-359;1362;-1298;0xfe99;0x552;0xfaee;64;1598;0x40;0x63e
6;64;2;190;254;-359;719;-719;0xfe99;0x2cf;0xfd31;0;-1534;0x0;0xfa02
6;64;2;191;255;-359;15;784;0xfe99;0xf;0x310;799;-64;0x31f;0xffc0
7;128;1;0;128;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;1;129;-758;-128;-128;0xfd0a;0xff80;0xff80;-256;0;0xff00;0x0
7;128;1;2;130;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;3;131;-758;128;128;0xfd0a;0x80;0x80;256;0;0x100;0x0
7;128;1;4;132;-758;-128;-128;0xfd0a;0xff80;0xff80;-256;0;0xff00;0x0
7;128;1;5;133;-758;671;-927;0xfd0a;0x29f;0xfc61;-256;128;0xff00;0x80
7;128;1;6;134;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;7;135;-758;1534;-1662;0xfd0a;0x5fe;0xf982;-128;256;0xff80;0x100
7;128;1;8;136;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;9;137;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;10;138;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;11;139;-758;927;-671;0xfd0a;0x39f;0xfd61;256;128;0x100;0x80
7;128;1;12;140;-758;1598;-1598;0xfd0a;0x63e;0xf9c2;0;256;0x0;0x100
7;128;1;13;141;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;14;142;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;15;143;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;16;144;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;17;145;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;18;146;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;19;147;-758;927;-671;0xfd0a;0x39f;0xfd61;256;128;0x100;0x80
7;128;1;20;148;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;21;149;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;22;150;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;23;151;-758;671;-927;0xfd0a;0x29f;0xfc61;-256;128;0xff00;0x80
7;128;1;24;152;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;25;153;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;26;154;-758;-128;-128;0xfd0a;0xff80;0xff80;-256;0;0xff00;0x0
7;128;1;27;155;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;28;156;-758;1534;-1662;0xfd0a;0x5fe;0xf982;-128;256;0xff80;0x100
7;128;1;29;157;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;30;158;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;31;159;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;32;160;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;33;161;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;34;162;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;35;163;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;36;164;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;37;165;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;38;166;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;39;167;-758;-927;671;0xfd0a;0xfc61;0x29f;-256;-128;0xff00;0xff80
7;128;1;40;168;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;41;169;-758;128;128;0xfd0a;0x80;0x80;256;0;0x100;0x0
7;128;1;42;170;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;43;171;-758;-1534;1662;0xfd0a;0xfa02;0x67e;128;-256;0x80;0xff00
7;128;1;44;172;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;45;173;-758;863;-735;0xfd0a;0x35f;0xfd21;128;128;0x80;0x80
7;128;1;46;174;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;47;175;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;48;176;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;49;177;-758;1470;1603;0xfd0a;0x5be;0x643;-256;256;0xff00;0x100
7;128;1;50;178;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;51;179;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;52;180;-758;-1598;1598;0xfd0a;0xf9c2;0x63e;0;-256;0x0;0xff00
7;128;1;53;181;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;54;182;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;55;183;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;56;184;-758;-128;-128;0xfd0a;0xff80;0xff80;-256;0;0xff00;0x0
7;128;1;57;185;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;58;186;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;59;187;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;60;188;-758;1603;1470;0xfd0a;0x643;0x5be;-256;-256;0xff00;0xff00
7;128;1;61;189;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;62;190;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;63;191;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;64;192;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;65;193;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;66;194;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;67;195;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;68;196;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;69;197;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;70;198;-758;-128;-128;0xfd0a;0xff80;0xff80;-256;0;0xff00;0x0
7;128;1;71;199;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;72;200;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;73;201;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;74;202;-758;-128;-128;0xfd0a;0xff80;0xff80;-256;0;0xff00;0x0
7;128;1;75;203;-758;1534;-1662;0xfd0a;0x5fe;0xf982;-128;256;0xff80;0x100
7;128;1;76;204;-758;671;-927;0xfd0a;0x29f;0xfc61;-256;128;0xff00;0x80
7;128;1;77;205;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;78;206;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;79;207;-758;128;128;0xfd0a;0x80;0x80;256;0;0x100;0x0
7;128;1;80;208;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;81;209;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;82;210;-758;-1598;1598;0xfd0a;0xf9c2;0x63e;0;-256;0x0;0xff00
7;128;1;83;211;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;84;212;-758;1662;-1534;0xfd0a;0x67e;0xfa02;128;256;0x80;0x100
7;128;1;85;213;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;86;214;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;87;215;-758;1662;-1534;0xfd0a;0x67e;0xfa02;128;256;0x80;0x100
7;128;1;88;216;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;89;217;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;90;218;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;91;219;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;92;220;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;93;221;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;94;222;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;95;223;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;96;224;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;97;225;-758;-927;671;0xfd0a;0xfc61;0x29f;-256;-128;0xff00;0xff80
7;128;1;98;226;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;99;227;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;100;228;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;101;229;-758;-671;927;0xfd0a;0xfd61;0x39f;256;-128;0x100;0xff80
7;128;1;102;230;-758;128;128;0xfd0a;0x80;0x80;256;0;0x100;0x0
7;128;1;103;231;-758;-735;863;0xfd0a;0xfd21;0x35f;128;-128;0x80;0xff80
7;128;1;104;232;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;105;233;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;106;234;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;107;235;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;108;236;-758;-1598;1598;0xfd0a;0xf9c2;0x63e;0;-256;0x0;0xff00
7;128;1;109;237;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;110;238;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;111;239;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;112;240;-758;1598;-1598;0xfd0a;0x63e;0xf9c2;0;256;0x0;0x100
7;128;1;113;241;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;114;242;-758;64;64;0xfd0a;0x40;0x40;128;0;0x80;0x0
7;128;1;115;243;-758;735;-863;0xfd0a;0x2df;0xfca1;-128;128;0xff80;0x80
7;128;1;116;244;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
7;128;1;117;245;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;118;246;-758;-671;927;0xfd0a;0xfd61;0x39f;256;-128;0x100;0xff80
7;128;1;119;247;-758;-799;799;0xfd0a;0xfce1;0x31f;0;-128;0x0;0xff80
7;128;1;120;248;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;121;249;-758;-863;735;0xfd0a;0xfca1;0x2df;-128;-128;0xff80;0xff80
7;128;1;122;250;-758;799;-799;0xfd0a;0x31f;0xfce1;0;128;0x0;0x80
7;128;1;123;251;-758;0;0;0xfd0a;0x0;0x0;0;0;0x0;0x0
7;128;1;124;252;-758;863;-735;0xfd0a;0x35f;0xfd21;128;128;0x80;0x80
7;128;1;125;253;-758;-1598;1598;0xfd0a;0xf9c2;0x63e;0;-256;0x0;0xff00
7;128;1;126;254;-758;1662;-1534;0xfd0a;0x67e;0xfa02;128;256;0x80;0x100
7;128;1;127;255;-758;-64;-64;0xfd0a;0xffc0;0xffc0;-128;0;0xff80;0x0
