stage;len;k;j;j+len;zetas[k];r[j]_in;r[j+len]_in;zetas[k]_hex;r[j]_in_hex;r[j+len]_in_hex;r[j]_out;r[j+len]_out;r[j]_out_hex;r[j+len]_out_hex
3;8;28;54;62;-1542;-1223;1211;0xf9fa;0xfb39;0x4bb;-12;-1188;0xfff4;0xfb5c
3;8;28;55;63;-1542;-154;-669;0xf9fa;0xff66;0xfd63;-823;-665;0xfcc9;0xfd67
3;8;27;64;72;608;578;-1552;0x260;0x242;0xf9f0;-974;16;0xfc32;0x10
3;8;27;65;73;608;-1493;171;0x260;0xfa2b;0xab;-1322;-1441;0xfad6;0xfa5f
3;8;27;66;74;608;1133;-775;0x260;0x46d;0xfcf9;358;652;0x166;0x28c
3;8;27;67;75;608;716;531;0x260;0x2cc;0x213;1247;-530;0x4df;0xfdee
3;8;27;68;76;608;-1588;-836;0x260;0xf9cc;0xfcbc;905;85;0x389;0x55
3;8;27;69;77;608;1133;-1110;0x260;0x46d;0xfbaa;23;592;0x17;0x250
3;8;27;70;78;608;-1329;-1584;0x260;0xfacf;0xf9d0;416;799;0x1a0;0x31f
3;8;27;71;79;608;1590;-1118;0x260;0x636;0xfba2;472;-1280;0x1d8;0xfb00
3;8;26;80;88;732;-199;-1308;0x2dc;0xff39;0xfae4;-1507;-753;0xfa1d;0xfd0f
3;8;26;81;89;732;226;-180;0x2dc;0xe2;0xff4c;46;-825;0x2e;0xfcc7
3;8;26;82;90;732;2;-891;0x2dc;0x2;0xfc85;-889;1621;0xfc87;0x655
3;8;26;83;91;732;-1369;-1129;0x2dc;0xfaa7;0xfb97;831;-1431;0x33f;0xfa69
3;8;26;84;92;732;-1189;1638;0x2dc;0xfb5b;0x666;449;1079;0x1c1;0x437
3;8;26;85;93;732;-347;-1255;0x2dc;0xfea5;0xfb19;-1602;254;0xf9be;0xfe
3;8;26;86;94;732;-732;-957;0x2dc;0xfd24;0xfc43;1640;-531;0x668;0xfded
3;8;26;87;95;732;732;-350;0x2dc;0x2dc;0xfea2;382;376;0x17e;0x178
3;8;25;96;104;1017;-816;705;0x3f9;0xfcd0;0x2c1;-111;-879;0xff91;0xfc91
3;8;25;97;105;1017;288;-835;0x3f9;0x120;0xfcbd;-547;-1288;0xfddd;0xfaf8
3;8;25;98;106;1017;-179;-1433;0x3f9;0xff4d;0xfa67;-1612;705;0xf9b4;0x2c1
3;8;25;99;107;1017;-273;225;0x3f9;0xfeef;0xe1;-48;835;0xffd0;0x343
3;8;25;100;108;1017;1039;-1381;0x3f9;0x40f;0xfa9b;-342;-742;0xfeaa;0xfd1a
3;8;25;101;109;1017;-770;2;0x3f9;0xfcfe;0x2;-768;-1326;0xfd00;0xfad2
3;8;25;102;110;1017;1425;-1447;0x3f9;0x591;0xfa59;-22;1535;0xffea;0x5ff
3;8;25;103;111;1017;1443;-547;0x3f9;0x5a3;0xfddd;896;848;0x380;0x350
3;8;24;112;120;-681;-879;-523;0xfd57;0xfc91;0xfdf5;-1402;1648;0xfa86;0x670
3;8;24;113;121;-681;-895;-60;0xfd57;0xfc81;0xffc4;-955;-1072;0xfc45;0xfbd0
3;8;24;114;122;-681;660;699;0xfd57;0x294;0x2bb;1359;-979;0x54f;0xfc2d
3;8;24;115;123;-681;-349;432;0xfd57;0xfea3;0x1b0;83;-1509;0x53;0xfa1b
3;8;24;116;124;-681;-1282;-1074;0xfd57;0xfafe;0xfbce;973;327;0x3cd;0x147
3;8;24;117;125;-681;1485;813;0xfd57;0x5cd;0x32d;-1031;480;0xfbf9;0x1e0
3;8;24;118;126;-681;390;872;0xfd57;0x186;0x368;1262;1558;0x4ee;0x616
3;8;24;119;127;-681;1316;-1019;0xfd57;0x524;0xfc05;297;-710;0x129;0xfd3a
3;8;23;128;136;-130;-872;1477;0xff7e;0xfc98;0x5c5;605;-1372;0x25d;0xfaa4
3;8;23;129;137;-130;-1257;1321;0xff7e;0xfb17;0x529;64;946;0x40;0x3b2
3;8;23;130;138;-130;-1072;-1462;0xff7e;0xfbd0;0xfa4a;795;-546;0x31b;0xfdde
3;8;23;131;139;-130;105;100;0xff7e;0x69;0x64;205;-7;0xcd;0xfff9
3;8;23;132;140;-130;953;621;0xff7e;0x3b9;0x26d;1574;201;0x626;0xc9
3;8;23;133;141;-130;787;1464;0xff7e;0x313;0x5b8;-1078;282;0xfbca;0x11a
3;8;23;134;142;-130;400;-1629;0xff7e;0x190;0xf9a3;-1229;-1509;0xfb33;0xfa1b
3;8;23;135;143;-130;639;-27;0xff7e;0x27f;0xffe5;612;1065;0x264;0x429
3;8;22;144;152;-1602;485;-934;0xf9be;0x1e5;0xfc5a;-449;635;0xfe3f;0x27b
3;8;22;145;153;-1602;-165;-62;0xf9be;0xff5b;0xffc2;-227;1019;0xff1d;0x3fb
3;8;22;146;154;-1602;-1283;-1575;0xf9be;0xfafd;0xf9d9;471;-1596;0x1d7;0xf9c4
3;8;22;147;155;-1602;1588;1148;0xf9be;0x634;0x47c;-593;-216;0xfdaf;0xff28
